epsilon; h^2; error; last_iteration
0.0001; 0.000384468; 0.0322778; 2422
0.0001; 0.000268745; 0.0269801; 3467
0.0001; 0.000198373; 0.0231768; 4699
0.0001; 0.000152416; 0.0203135; 6117
0.0001; 0.000120758; 0.0180801; 7722
0.0001; 9.80296e-05; 0.0162891; 9514
0.0001; 8.11622e-05; 0.014821; 11492
0.0001; 6.83013e-05; 0.0135957; 13657
0.0001; 5.82717e-05; 0.0125575; 16009
0.0001; 5.02993e-05; 0.0116667; 18547
0.0001; 4.38577e-05; 0.0108938; 21272
0.0001; 3.85788e-05; 0.010217; 24184
0.0001; 3.41986e-05; 0.00961929; 27282
0.0001; 3.05241e-05; 0.00908768; 30567
0.0001; 2.74115e-05; 0.00861173; 34039
0.0001; 2.47519e-05; 0.00818315; 37697
0.0001; 2.24613e-05; 0.00779519; 41541
0.0001; 2.04746e-05; 0.00744234; 45573
0.0001; 1.87403e-05; 0.00712004; 49791
0.0001; 1.72173e-05; 0.00682448; 54196
0.0001; 1.58728e-05; 0.00655247; 58787
0.0001; 1.46798e-05; 0.00630131; 63565
0.0001; 1.36164e-05; 0.00606868; 68530
0.0001; 1.26645e-05; 0.0058526; 73681
0.0001; 1.1809e-05; 0.00565137; 79019
0.0001; 1.10374e-05; 0.00546351; 84543
1e-05; 0.000384468; 0.0322778; 2422
1e-05; 0.000268745; 0.0269801; 3467
1e-05; 0.000198373; 0.0231768; 4699
1e-05; 0.000152416; 0.0203135; 6117
1e-05; 0.000120758; 0.0180801; 7722
1e-05; 9.80296e-05; 0.0162891; 9514
1e-05; 8.11622e-05; 0.014821; 11492
1e-05; 6.83013e-05; 0.0135957; 13657
1e-05; 5.82717e-05; 0.0125575; 16009
1e-05; 5.02993e-05; 0.0116667; 18547
1e-05; 4.38577e-05; 0.0108938; 21272
1e-05; 3.85788e-05; 0.010217; 24184
1e-05; 3.41986e-05; 0.00961929; 27282
1e-05; 3.05241e-05; 0.00908768; 30567
1e-05; 2.74115e-05; 0.00861173; 34039
1e-05; 2.47519e-05; 0.00818315; 37697
1e-05; 2.24613e-05; 0.00779519; 41541
1e-05; 2.04746e-05; 0.00744234; 45573
1e-05; 1.87403e-05; 0.00712004; 49791
1e-05; 1.72173e-05; 0.00682448; 54196
1e-05; 1.58728e-05; 0.00655247; 58787
1e-05; 1.46798e-05; 0.00630131; 63565
1e-05; 1.36164e-05; 0.00606868; 68530
1e-05; 1.26645e-05; 0.0058526; 73681
1e-05; 1.1809e-05; 0.00565137; 79019
1e-05; 1.10374e-05; 0.00546351; 84543
1e-06; 0.000384468; 0.0322778; 2422
1e-06; 0.000268745; 0.0269801; 3467
1e-06; 0.000198373; 0.0231768; 4699
1e-06; 0.000152416; 0.0203135; 6117
1e-06; 0.000120758; 0.0180801; 7722
1e-06; 9.80296e-05; 0.0162891; 9514
1e-06; 8.11622e-05; 0.014821; 11492
1e-06; 6.83013e-05; 0.0135957; 13657
1e-06; 5.82717e-05; 0.0125575; 16009
1e-06; 5.02993e-05; 0.0116667; 18547
1e-06; 4.38577e-05; 0.0108938; 21272
1e-06; 3.85788e-05; 0.010217; 24184
1e-06; 3.41986e-05; 0.00961929; 27282
1e-06; 3.05241e-05; 0.00908768; 30567
1e-06; 2.74115e-05; 0.00861173; 34039
1e-06; 2.47519e-05; 0.00818315; 37697
1e-06; 2.24613e-05; 0.00779519; 41541
1e-06; 2.04746e-05; 0.00744234; 45573
1e-06; 1.87403e-05; 0.00712004; 49791
1e-06; 1.72173e-05; 0.00682448; 54196
1e-06; 1.58728e-05; 0.00655247; 58787
1e-06; 1.46798e-05; 0.00630131; 63565
1e-06; 1.36164e-05; 0.00606868; 68530
1e-06; 1.26645e-05; 0.0058526; 73681
1e-06; 1.1809e-05; 0.00565137; 79019
1e-06; 1.10374e-05; 0.00546351; 84543
1e-07; 0.000384468; 0.0322778; 2422
1e-07; 0.000268745; 0.0269801; 3467
1e-07; 0.000198373; 0.0231768; 4699
1e-07; 0.000152416; 0.0203135; 6117
1e-07; 0.000120758; 0.0180801; 7722
1e-07; 9.80296e-05; 0.0162891; 9514
1e-07; 8.11622e-05; 0.014821; 11492
1e-07; 6.83013e-05; 0.0135957; 13657
1e-07; 5.82717e-05; 0.0125575; 16009
1e-07; 5.02993e-05; 0.0116667; 18547
1e-07; 4.38577e-05; 0.0108938; 21272
1e-07; 3.85788e-05; 0.010217; 24184
1e-07; 3.41986e-05; 0.00961929; 27282
1e-07; 3.05241e-05; 0.00908768; 30567
1e-07; 2.74115e-05; 0.00861173; 34039
1e-07; 2.47519e-05; 0.00818315; 37697
1e-07; 2.24613e-05; 0.00779519; 41541
1e-07; 2.04746e-05; 0.00744234; 45573
1e-07; 1.87403e-05; 0.00712004; 49791
1e-07; 1.72173e-05; 0.00682448; 54196
1e-07; 1.58728e-05; 0.00655247; 58787
1e-07; 1.46798e-05; 0.00630131; 63565
1e-07; 1.36164e-05; 0.00606868; 68530
1e-07; 1.26645e-05; 0.0058526; 73681
1e-07; 1.1809e-05; 0.00565137; 79019
1e-07; 1.10374e-05; 0.00546351; 84543
1e-08; 0.000384468; 0.0322778; 2422
1e-08; 0.000268745; 0.0269801; 3467
1e-08; 0.000198373; 0.0231768; 4699
1e-08; 0.000152416; 0.0203135; 6117
1e-08; 0.000120758; 0.0180801; 7722
1e-08; 9.80296e-05; 0.0162891; 9514
1e-08; 8.11622e-05; 0.014821; 11492
1e-08; 6.83013e-05; 0.0135957; 13657
1e-08; 5.82717e-05; 0.0125575; 16009
1e-08; 5.02993e-05; 0.0116667; 18547
1e-08; 4.38577e-05; 0.0108938; 21272
1e-08; 3.85788e-05; 0.010217; 24184
1e-08; 3.41986e-05; 0.00961929; 27282
1e-08; 3.05241e-05; 0.00908768; 30567
1e-08; 2.74115e-05; 0.00861173; 34039
1e-08; 2.47519e-05; 0.00818315; 37697
1e-08; 2.24613e-05; 0.00779519; 41541
1e-08; 2.04746e-05; 0.00744234; 45573
1e-08; 1.87403e-05; 0.00712004; 49791
1e-08; 1.72173e-05; 0.00682448; 54196
1e-08; 1.58728e-05; 0.00655247; 58787
1e-08; 1.46798e-05; 0.00630131; 63565
1e-08; 1.36164e-05; 0.00606868; 68530
1e-08; 1.26645e-05; 0.0058526; 73681
1e-08; 1.1809e-05; 0.00565137; 79019
1e-08; 1.10374e-05; 0.00546351; 84543
